Name,Possible Other Name,Associated School,School Address,State,Start Date,End Date,Currently Operating,BSDC_Housing,BSDC_Education,BSDC_Federal_Support,BSDC_Timeframe,ST_Government,ST_Tribal,ST_Boarding_School,ST_Day_School,ST_Contract,ST_Mission,ST_Sanatorium,ST_Dormitory,ST_Training,ST_Jail,ST_Reservation,ST_Nonreservation,ST_College,ST_Residential,ST_Grant,ST_Health,ST_Industrial_Shool,ST_Farm,ST_Orphanage,ST_Seminary,ST_State,ST_Normal,ST_Vocational,ST_Independent,ST_Private
Middletown Training School,,,"Middletown, California",CA,1885,1887,N,Y,Y,Y,Y,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Molokai Forestry Camp School,,,"Molokai, Hawaii",HI,1953,1967,N,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Montana Industrial School for Indians,Bond's Mission School,,"Custer, Montana",MT,1886,1897,N,Y,Y,Y,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N
Morris Industrial School for Indians,,St. Paul's Industrial School,"Morris, Minnesota",MN,1887,1908,N,Y,Y,Y,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Mount Pleasant Indian Industrial Boarding School,"Michigan Indian Industrial Boarding School, Mount Pleasant Indian School, Mount Pleasant Training",,"Mt Pleasant, Michigan",MI,1893,1934,N,Y,Y,Y,Y,Y,N,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N
"Mt Pleasant, Michigan","Mount Edgecumbe, Mt. Edgecumbe High School",,"Sitka, Alaska",AK,1947,,Y,Y,Y,Y,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Murray State School of Agriculture,"Murray State Agricultural College, Murray State College of Agriculture and Applied Science, Murray State College",,"Tishomingo, Oklahoma",OK,1908,,Y,Y,Y,Y,Y,N,N,Y,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,Y
Murrow Orphan Home,Murrow Indian Orphanage,,"Muskogee, Oklahoma",OK,1902,,Y,Y,Y,Y,Y,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Naschitti Boarding School,"Naschiti Day School, Naschiti Dormitory, Naschitti Elementary School",,"Tohatchi, New Mexico",NM,1935,,Y,Y,Y,Y,Y,N,N,Y,Y,N,N,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Nava Boarding and Day School,,,"Newcomb, New Mexico",NM,1929,1955,N,Y,Y,Y,Y,Y,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
