Index,Acreage_data Page,Pop_data Page,STATE/SUPERINTENDENCY,TRIBE,AGENCY,RESERVATION,YEAR,POPULATION,ACREAGE,SCHOOL,N_STUDENTS,DAY Y/N/B,BOARDING_N_ACC,DAY_N_ACC,STUDENTS_ENROLL,AVG_ATTENDANCE,N_MISSIONARIES,ARCHIVE NOTES,,
103,351,347,South Superintendency ,Osages ,,,1866,3000,NA,NA,53+27,NA,NA,NA,,NA,2,,,
104,351,347,South Superintendency ,Quapaws ,,,1866,300,NA,NA,NA,NA,NA,NA,,NA,NA,,,
105,351,347,South Superintendency ,Senecas and Shawnees,,,1866,210,NA,NA,12+1,NA,NA,NA,,NA,NA,,,
106,351,347,South Superintendency ,Senecas ,,,1866,130,NA,NA,NA,NA,NA,NA,,NA,NA,,,
107,351,347,South Superintendency ,Wichitas,,,1866,392,NA,NA,NA,NA,NA,NA,,NA,NA,,,
108,351,347,South Superintendency ,Keechies,,,1866,144,NA,NA,NA,NA,NA,NA,,NA,NA,,,
109,351,347,South Superintendency ,Wacoes,,,1866,135,NA,NA,NA,NA,NA,NA,,NA,NA,,,
110,351,347,South Superintendency ,Tawaccaras,,,1866,151,NA,NA,NA,NA,NA,NA,,NA,NA,,,
111,352,347,South Superintendency ,Caddoes and Ionies,,,1866,362,NA,NA,NA,NA,NA,NA,,NA,NA,,,
112,352,347,South Superintendency ,Shawnees,,,1866,520,NA,NA,NA,NA,NA,NA,,NA,NA,,,
113,352,347,South Superintendency ,Delawares,,,1866,114,NA,NA,NA,NA,NA,NA,,NA,NA,,,
114,,347,South Superintendency ,Indians belonging to some of these tribes not at their agency,,,1866,1000,,NA,NA,NA,NA,NA,,NA,NA,,,
115,,,New Mexico Superintendency,,,,1866,NA,1280 (a),NA,NA,NA,NA,NA,,NA,NA,,,
116,352,347,New Mexico Superintendency,Mohuache Utes,,,1866,600,Agency,NA,NA,NA,NA,NA,,NA,NA,,,
117,352,347,New Mexico Superintendency,Jicarilla Apaches,,,1866,900,Agency,NA,NA,NA,NA,NA,,NA,NA,,,
118,352,347,New Mexico Superintendency,Navajoes ,,,1866,8900,NA,NA,NA,NA,NA,NA,,NA,13,,,
