year,STUSPS,ceded_acres,cumulative_ceded,total_acres_2021,prop_ceded
1855,KS,0,65049813.431119904,52678369.13166625,1
1856,KS,0,65049813.431119904,52678369.13166625,1
1857,KS,0,65049813.431119904,52678369.13166625,1
1858,KS,0,65049813.431119904,52678369.13166625,1
1859,KS,0,65049813.431119904,52678369.13166625,1
1860,KS,0,65049813.431119904,52678369.13166625,1
1861,KS,0,65049813.431119904,52678369.13166625,1
1863,KS,0,65049813.431119904,52678369.13166625,1
1864,KS,0,65049813.431119904,52678369.13166625,1
1865,KS,7414312.402915169,72464125.83403507,52678369.13166625,1
1866,KS,590697.5625084138,73054823.39654349,52678369.13166625,1
1867,KS,0,73054823.39654349,52678369.13166625,1
1868,KS,0,73054823.39654349,52678369.13166625,1
1869,KS,0,73054823.39654349,52678369.13166625,1
1870,KS,4812915.258734184,77867738.65527767,52678369.13166625,1
1871,KS,0,77867738.65527767,52678369.13166625,1
1872,KS,0,77867738.65527767,52678369.13166625,1
1873,KS,0,77867738.65527767,52678369.13166625,1
1874,KS,0,77867738.65527767,52678369.13166625,1
1875,KS,0,77867738.65527767,52678369.13166625,1
1876,KS,0,77867738.65527767,52678369.13166625,1
1877,KS,0,77867738.65527767,52678369.13166625,1
1878,KS,0,77867738.65527767,52678369.13166625,1
1879,KS,0,77867738.65527767,52678369.13166625,1
1880,KS,0,77867738.65527767,52678369.13166625,1
1881,KS,0,77867738.65527767,52678369.13166625,1
1882,KS,0,77867738.65527767,52678369.13166625,1
1883,KS,0,77867738.65527767,52678369.13166625,1
1884,KS,0,77867738.65527767,52678369.13166625,1
1886,KS,0,77867738.65527767,52678369.13166625,1
1887,KS,0,77867738.65527767,52678369.13166625,1
1888,KS,0,77867738.65527767,52678369.13166625,1
1889,KS,0,77867738.65527767,52678369.13166625,1
1890,KS,0,77867738.65527767,52678369.13166625,1
1891,KS,0,77867738.65527767,52678369.13166625,1
1892,KS,0,77867738.65527767,52678369.13166625,1
1893,KS,0,77867738.65527767,52678369.13166625,1
1784,KY,0,0,25883846.40951026,0
1785,KY,657689.8696359288,657689.8696359288,25883846.40951026,0.025409278792284905
1788,KY,0,657689.8696359288,25883846.40951026,0.025409278792284905
1790,KY,0,657689.8696359288,25883846.40951026,0.025409278792284905
1791,KY,0,657689.8696359288,25883846.40951026,0.025409278792284905
1794,KY,0,657689.8696359288,25883846.40951026,0.025409278792284905
1795,KY,23051219.80789702,23708909.67753295,25883846.40951026,0.915973202067132
1796,KY,0,23708909.67753295,25883846.40951026,0.915973202067132
1797,KY,0,23708909.67753295,25883846.40951026,0.915973202067132
1798,KY,0,23708909.67753295,25883846.40951026,0.915973202067132
1801,KY,0,23708909.67753295,25883846.40951026,0.915973202067132
1802,KY,0,23708909.67753295,25883846.40951026,0.915973202067132
1803,KY,5746.354727776445,23714656.032260723,25883846.40951026,0.9161952075077787
1804,KY,62360.09092743806,23777016.12318816,25883846.40951026,0.918604435639519
1805,KY,626720.0647136883,24403736.187901847,25883846.40951026,0.9428172228272615
1806,KY,0,24403736.187901847,25883846.40951026,0.9428172228272615
1807,KY,0,24403736.187901847,25883846.40951026,0.9428172228272615
1808,KY,14307.211169875602,24418043.399071723,25883846.40951026,0.9433699695459493
1809,KY,0,24418043.399071723,25883846.40951026,0.9433699695459493
1814,KY,0,24418043.399071723,25883846.40951026,0.9433699695459493
1816,KY,0,24418043.399071723,25883846.40951026,0.9433699695459493
1817,KY,0,24418043.399071723,25883846.40951026,0.9433699695459493
1818,KY,1472004.8192609064,25890048.21833263,25883846.40951026,1
1819,KY,0,25890048.21833263,25883846.40951026,1
1820,KY,0,25890048.21833263,25883846.40951026,1
1821,KY,0,25890048.21833263,25883846.40951026,1
1823,KY,0,25890048.21833263,25883846.40951026,1
1824,KY,0,25890048.21833263,25883846.40951026,1
1825,KY,0,25890048.21833263,25883846.40951026,1
1826,KY,0,25890048.21833263,25883846.40951026,1
1827,KY,0,25890048.21833263,25883846.40951026,1
1828,KY,0,25890048.21833263,25883846.40951026,1
1829,KY,0,25890048.21833263,25883846.40951026,1
1830,KY,0,25890048.21833263,25883846.40951026,1
1831,KY,0,25890048.21833263,25883846.40951026,1
1832,KY,0,25890048.21833263,25883846.40951026,1
1833,KY,0,25890048.21833263,25883846.40951026,1
1835,KY,0,25890048.21833263,25883846.40951026,1
1836,KY,0,25890048.21833263,25883846.40951026,1
1837,KY,0,25890048.21833263,25883846.40951026,1
1838,KY,0,25890048.21833263,25883846.40951026,1
1839,KY,0,25890048.21833263,25883846.40951026,1
1842,KY,0,25890048.21833263,25883846.40951026,1
1846,KY,0,25890048.21833263,25883846.40951026,1
1847,KY,0,25890048.21833263,25883846.40951026,1
1848,KY,0,25890048.21833263,25883846.40951026,1
1851,KY,0,25890048.21833263,25883846.40951026,1
1852,KY,0,25890048.21833263,25883846.40951026,1
1853,KY,0,25890048.21833263,25883846.40951026,1
1854,KY,0,25890048.21833263,25883846.40951026,1
1855,KY,0,25890048.21833263,25883846.40951026,1
1856,KY,0,25890048.21833263,25883846.40951026,1
1857,KY,0,25890048.21833263,25883846.40951026,1
1858,KY,0,25890048.21833263,25883846.40951026,1
1859,KY,0,25890048.21833263,25883846.40951026,1
1860,KY,0,25890048.21833263,25883846.40951026,1
1861,KY,0,25890048.21833263,25883846.40951026,1
1863,KY,0,25890048.21833263,25883846.40951026,1
1864,KY,0,25890048.21833263,25883846.40951026,1
1865,KY,0,25890048.21833263,25883846.40951026,1
1866,KY,0,25890048.21833263,25883846.40951026,1
1867,KY,0,25890048.21833263,25883846.40951026,1
1868,KY,0,25890048.21833263,25883846.40951026,1
1869,KY,0,25890048.21833263,25883846.40951026,1
1870,KY,0,25890048.21833263,25883846.40951026,1
1871,KY,0,25890048.21833263,25883846.40951026,1
1872,KY,0,25890048.21833263,25883846.40951026,1
1873,KY,0,25890048.21833263,25883846.40951026,1
1874,KY,0,25890048.21833263,25883846.40951026,1
1875,KY,0,25890048.21833263,25883846.40951026,1
1876,KY,0,25890048.21833263,25883846.40951026,1
1877,KY,0,25890048.21833263,25883846.40951026,1
1878,KY,0,25890048.21833263,25883846.40951026,1
1879,KY,0,25890048.21833263,25883846.40951026,1
1880,KY,0,25890048.21833263,25883846.40951026,1
1881,KY,0,25890048.21833263,25883846.40951026,1
1882,KY,0,25890048.21833263,25883846.40951026,1
1883,KY,0,25890048.21833263,25883846.40951026,1
1884,KY,0,25890048.21833263,25883846.40951026,1
1886,KY,0,25890048.21833263,25883846.40951026,1
1887,KY,0,25890048.21833263,25883846.40951026,1
1888,KY,0,25890048.21833263,25883846.40951026,1
1889,KY,0,25890048.21833263,25883846.40951026,1
1890,KY,0,25890048.21833263,25883846.40951026,1
1891,KY,0,25890048.21833263,25883846.40951026,1
1892,KY,0,25890048.21833263,25883846.40951026,1
1893,KY,0,25890048.21833263,25883846.40951026,1
1784,LA,0,0,30741827.289905928,0
1785,LA,0,0,30741827.289905928,0
1788,LA,0,0,30741827.289905928,0
1790,LA,0,0,30741827.289905928,0
1791,LA,0,0,30741827.289905928,0
1794,LA,0,0,30741827.289905928,0
1795,LA,0,0,30741827.289905928,0
1796,LA,0,0,30741827.289905928,0
1797,LA,0,0,30741827.289905928,0
1798,LA,0,0,30741827.289905928,0
1801,LA,15249.933472236016,15249.933472236016,30741827.289905928,4.960646395031739e-4
1802,LA,0,15249.933472236016,30741827.289905928,4.960646395031739e-4
1803,LA,0,15249.933472236016,30741827.289905928,4.960646395031739e-4
1804,LA,0,15249.933472236016,30741827.289905928,4.960646395031739e-4
1805,LA,0,15249.933472236016,30741827.289905928,4.960646395031739e-4
1806,LA,0,15249.933472236016,30741827.289905928,4.960646395031739e-4
1807,LA,0,15249.933472236016,30741827.289905928,4.960646395031739e-4
1808,LA,0,15249.933472236016,30741827.289905928,4.960646395031739e-4
1809,LA,0,15249.933472236016,30741827.289905928,4.960646395031739e-4
