STUSPS,total_acres_2021,year,morill_acres,homestead_acres,morill_acres_cum,homestead_acres_cum
MI,37649175.2880441,1901,0,22780,1150319.5099999998,2061440
MI,37649175.2880441,1902,0,20830,1150319.5099999998,2082270
MI,37649175.2880441,1903,0,16096,1150319.5099999998,2098366
MI,37649175.2880441,1904,80,16025,1150399.5099999998,2114391
MI,37649175.2880441,1905,0,21472,1150399.5099999998,2135863
MI,37649175.2880441,1906,80,20342,1150479.5099999998,2156205
MI,37649175.2880441,1907,0,13885,1150479.5099999998,2170090
MI,37649175.2880441,1908,0,12553,1150479.5099999998,2182643
MI,37649175.2880441,1909,0,15336,1150479.5099999998,2197979
MI,37649175.2880441,1910,0,16443,1150479.5099999998,2214422
MI,37649175.2880441,1911,0,10681,1150479.5099999998,2225103
MI,37649175.2880441,1912,0,10669,1150479.5099999998,2235772
MI,37649175.2880441,1913,0,14003,1150479.5099999998,2249775
MI,37649175.2880441,1914,0,11438,1150479.5099999998,2261213
MI,37649175.2880441,1915,0,8298,1150479.5099999998,2269511
MI,37649175.2880441,1916,0,9830,1150479.5099999998,2279341
MI,37649175.2880441,1917,0,8199,1150479.5099999998,2287540
MI,37649175.2880441,1918,0,7953,1150479.5099999998,2295493
MI,37649175.2880441,1919,0,4895,1150479.5099999998,2300388
MI,37649175.2880441,1920,0,4060,1150479.5099999998,2304448
MI,37649175.2880441,1921,0,5449,1150479.5099999998,2309897
MI,37649175.2880441,1922,0,2423,1150479.5099999998,2312320
MI,37649175.2880441,1923,0,4320,1150479.5099999998,2316640
MI,37649175.2880441,1924,0,3218,1150479.5099999998,2319858
MI,37649175.2880441,1925,0,1747,1150479.5099999998,2321605
MI,37649175.2880441,1926,0,0,1150479.5099999998,2321605
MI,37649175.2880441,1927,0,0,1150479.5099999998,2321605
MI,37649175.2880441,1928,0,0,1150479.5099999998,2321605
MI,37649175.2880441,1929,0,0,1150479.5099999998,2321605
MI,37649175.2880441,1930,0,0,1150479.5099999998,2321605
MN,54944591.84951174,1862,0,0,0,0
MN,54944591.84951174,1863,0,0,0,0
MN,54944591.84951174,1864,0,0,0,0
MN,54944591.84951174,1865,2916.43,0,2916.43,0
MN,54944591.84951174,1866,98387.86000000995,0,101304.29000000995,0
MN,54944591.84951174,1867,180701.77000004,0,282006.06000004994,0
MN,54944591.84951174,1868,276447.4000000299,113800,558453.4600000798,113800
MN,54944591.84951174,1869,83134.40999998,164844,641587.8700000598,278644
MN,54944591.84951174,1870,142004.55999999,212388,783592.4300000498,491032
MN,54944591.84951174,1871,43571.83999999999,189647,827164.2700000497,680679
MN,54944591.84951174,1872,44291.03500000999,181678,871455.3050000598,862357
MN,54944591.84951174,1873,62942.43500003002,255648,934397.7400000897,1118005
MN,54944591.84951174,1874,54370.950000009994,318319,988768.6900000997,1436324
MN,54944591.84951174,1875,9904.975000000002,353296,998673.6650000997,1789620
MN,54944591.84951174,1876,3616.3216666999992,363074,1002289.9866667996,2152694
MN,54944591.84951174,1877,2745.1933333299994,286019,1005035.1800001296,2438713
MN,54944591.84951174,1878,1139.45,302651,1006174.6300001296,2741364
MN,54944591.84951174,1879,1223.25,262968,1007397.8800001296,3004332
